transactionIdSource,clientId,amount,transactionDate
q6WRE262,83,260.87,2024-12-15T03:41:04.087591+00:00
hqXCsm7Z,16,336.36,2024-12-15T03:41:04.087606+00:00
2OHGVzvZ,62,977.78,2024-12-15T03:41:04.087613+00:00
JneSwhDk,31,892.55,2024-12-15T03:41:04.087619+00:00
wgcNdMlM,63,52.29,2024-12-15T03:41:04.087623+00:00
pvHR2dHe,43,525.56,2024-12-15T03:41:04.087627+00:00
g386JrEz,35,840.84,2024-12-15T03:41:04.087632+00:00
mXSAg6Gf,11,649.28,2024-12-15T03:41:04.087636+00:00
MarFz2qD,61,18.15,2024-12-15T03:41:04.087640+00:00
FKwKJyLK,27,142.5,2024-12-15T03:41:04.087643+00:00
LBQwOO45,83,663.19,2024-12-15T03:41:04.087647+00:00
21Ra2vDn,85,455.47,2024-12-15T03:41:04.087651+00:00
E2TEWR9r,73,945.16,2024-12-15T03:41:04.087655+00:00
QxuLPg96,91,144.01,2024-12-15T03:41:04.087659+00:00
qF8l9XoX,53,588.99,2024-12-15T03:41:04.087662+00:00
a8uDMEwR,75,485.49,2024-12-15T03:41:04.087666+00:00
NRByObYo,87,888.95,2024-12-15T03:41:04.087670+00:00
sgaZNm5a,81,273.39,2024-12-15T03:41:04.087674+00:00
bApsHGIl,4,429.93,2024-12-15T03:41:04.087678+00:00
LZ6OXr3u,28,937.48,2024-12-15T03:41:04.087681+00:00
5vM4X8g0,62,280.75,2024-12-15T03:41:04.087685+00:00
9REaJkP9,41,678.85,2024-12-15T03:41:04.087689+00:00
3L77EYL9,10,539.33,2024-12-15T03:41:04.087692+00:00
cl57Yj1e,31,74.76,2024-12-15T03:41:04.087696+00:00
OjtvA9Z1,50,112.19,2024-12-15T03:41:04.087700+00:00
dFTkizT0,33,245.54,2024-12-15T03:41:04.087704+00:00
ZMwUlx4M,17,743.61,2024-12-15T03:41:04.087708+00:00
I2qmYt6F,99,658.69,2024-12-15T03:41:04.087712+00:00
bcSkdnfS,56,844.37,2024-12-15T03:41:04.087715+00:00
iQw1mgwT,41,643.45,2024-12-15T03:41:04.087719+00:00
7rsl6o3e,72,485.09,2024-12-15T03:41:04.087723+00:00
g9yz3xO0,96,490.28,2024-12-15T03:41:04.087726+00:00
Pd53Njfi,51,358.77,2024-12-15T03:41:04.087730+00:00
nII3exZD,18,920.97,2024-12-15T03:41:04.087734+00:00
R4btz03f,65,803.45,2024-12-15T03:41:04.087738+00:00
gZOHuOsZ,74,728.06,2024-12-15T03:41:04.087741+00:00
V7Arn5hs,28,407.67,2024-12-15T03:41:04.087745+00:00
mgbkFKQP,33,644.81,2024-12-15T03:41:04.087748+00:00
mF0vOeTI,52,143.56,2024-12-15T03:41:04.087752+00:00
RgKO1WnH,97,593.55,2024-12-15T03:41:04.087756+00:00
QCL97ts8,10,429.83,2024-12-15T03:41:04.087759+00:00
LnK4kqgv,11,230.91,2024-12-15T03:41:04.087763+00:00
KTCM9jHW,18,596.89,2024-12-15T03:41:04.087767+00:00
os2JqXJZ,96,757.98,2024-12-15T03:41:04.087770+00:00
wwqFrT57,27,837.21,2024-12-15T03:41:04.087773+00:00
